plan,section,feature_or_bucket,level,used_n,used_d30_pct,not_used_d30_pct,rr_d30,chi_sq_p,sig,low_n_flag
Free,feature,pr_comment,used_vs_never,100,14.0,7.5,1.873,2.534e-02,sig,0
Free,feature,deepwiki_view,used_vs_never,278,19.1,6.8,2.807,2.500e-13,sig,0
Free,feature,check_run_created,used_vs_never,337,11.9,7.3,1.637,3.179e-03,sig,0
Free,feature,has_pr,used_vs_never,1395,8.6,7.1,1.207,1.058e-01,ns,0
Free,feature,has_merge,used_vs_never,595,10.1,7.2,1.398,1.868e-02,sig,0
Free,feature,suggest_testing_setup,used_vs_never,314,8.9,7.5,1.185,4.354e-01,ns,0
Free,feature,checkpoint_restored,used_vs_never,324,12.7,7.2,1.758,5.864e-04,sig,0
Free,feature,mcp_tool_call,used_vs_never,329,21.3,6.4,3.310,7.083e-22,sig,0
Free,feature,devin_review,used_vs_never,3503,5.3,22.4,0.238,8.808e-44,sig,0
Free,feature,test_recording,used_vs_never,279,7.2,7.7,0.935,8.513e-01,ns,0
Free,feature,computer_use,used_vs_never,1514,5.2,9.1,0.565,5.677e-06,sig,0
Free,feature,web_search,used_vs_never,704,6.7,7.8,0.852,3.289e-01,ns,0
Free,feature,playbook_triggered,used_vs_never,27,37.0,7.4,4.980,6.350e-08,LOW-N,1
Free,feature,automation_create,used_vs_never,10,50.0,7.5,6.640,8.395e-06,LOW-N,1
Free,cadence,active_days_14d,1,2708,3.7,,,1.557e-94,sig,0
Free,cadence,active_days_14d,2-3,1012,10.0,,,1.557e-94,sig,0
Free,cadence,active_days_14d,4-7,264,27.7,,,1.557e-94,sig,0
Free,cadence,active_days_14d,8+,63,57.1,,,1.557e-94,sig,0
Free,cadence,sessions_count,1,2779,4.6,,,3.450e-45,sig,0
Free,cadence,sessions_count,2-3,925,10.6,,,3.450e-45,sig,0
Free,cadence,sessions_count,4-7,250,18.8,,,3.450e-45,sig,0
Free,cadence,sessions_count,8+,93,37.6,,,3.450e-45,sig,0
TrialPro,feature,pr_comment,used_vs_never,388,2.8,1.1,2.521,4.180e-03,sig,0
TrialPro,feature,deepwiki_view,used_vs_never,237,7.2,1.1,6.658,5.325e-17,sig,0
TrialPro,feature,check_run_created,used_vs_never,2133,0.9,1.2,0.739,2.483e-01,ns,0
TrialPro,feature,has_pr,used_vs_never,5337,1.3,1.1,1.145,4.072e-01,ns,0
TrialPro,feature,has_merge,used_vs_never,3933,1.1,1.2,0.894,5.742e-01,ns,0
TrialPro,feature,suggest_testing_setup,used_vs_never,1665,1.3,1.2,1.093,7.891e-01,ns,0
TrialPro,feature,checkpoint_restored,used_vs_never,3088,1.3,1.1,1.178,3.987e-01,ns,0
TrialPro,feature,mcp_tool_call,used_vs_never,1885,1.2,1.2,1.054,9.005e-01,ns,0
TrialPro,feature,devin_review,used_vs_never,10488,1.3,0.9,1.419,3.098e-02,sig,0
TrialPro,feature,test_recording,used_vs_never,1730,1.4,1.1,1.218,4.271e-01,ns,0
TrialPro,feature,computer_use,used_vs_never,8081,1.1,1.2,0.957,8.159e-01,ns,0
TrialPro,feature,web_search,used_vs_never,6604,1.1,1.2,0.918,6.144e-01,ns,0
TrialPro,feature,playbook_triggered,used_vs_never,52,1.9,1.2,1.655,1.000e+00,ns,0
TrialPro,feature,automation_create,used_vs_never,128,7.8,1.1,7.021,3.488e-11,sig,0
TrialPro,cadence,active_days_14d,1,4940,0.6,,,2.335e-08,sig,0
TrialPro,cadence,active_days_14d,2-3,4884,1.0,,,2.335e-08,sig,0
TrialPro,cadence,active_days_14d,4-7,5499,1.5,,,2.335e-08,sig,0
TrialPro,cadence,active_days_14d,8+,1250,2.6,,,2.335e-08,sig,0
TrialPro,cadence,sessions_count,1,5842,0.9,,,2.937e-03,sig,0
TrialPro,cadence,sessions_count,2-3,5076,1.2,,,2.937e-03,sig,0
TrialPro,cadence,sessions_count,4-7,3647,1.1,,,2.937e-03,sig,0
TrialPro,cadence,sessions_count,8+,2008,1.9,,,2.937e-03,sig,0
Max,feature,pr_comment,used_vs_never,99,83.8,50.5,1.660,4.594e-08,sig,0
Max,feature,deepwiki_view,used_vs_never,62,79.0,56.8,1.390,2.260e-03,sig,0
Max,feature,check_run_created,used_vs_never,117,75.2,52.7,1.428,1.448e-04,sig,0
Max,feature,has_pr,used_vs_never,201,68.2,48.0,1.419,1.058e-03,sig,0
Max,feature,has_merge,used_vs_never,164,74.4,46.0,1.616,8.147e-07,sig,0
Max,feature,suggest_testing_setup,used_vs_never,74,86.5,53.3,1.623,6.902e-07,sig,0
Max,feature,checkpoint_restored,used_vs_never,87,87.4,50.9,1.715,8.293e-09,sig,0
Max,feature,mcp_tool_call,used_vs_never,129,72.1,53.4,1.349,1.489e-03,sig,0
Max,feature,devin_review,used_vs_never,257,64.6,43.5,1.486,1.095e-02,sig,0
Max,feature,test_recording,used_vs_never,107,67.3,58.2,1.157,1.510e-01,ns,0
Max,feature,computer_use,used_vs_never,211,68.2,45.7,1.495,3.355e-04,sig,0
Max,feature,web_search,used_vs_never,186,66.7,53.0,1.258,2.387e-02,sig,0
Max,feature,playbook_triggered,used_vs_never,15,100.0,59.4,1.684,,LOW-N,1
Max,feature,automation_create,used_vs_never,4,100.0,60.9,1.643,,LOW-N,1
Max,cadence,active_days_14d,1,32,28.1,,,8.207e-09,sig,1
Max,cadence,active_days_14d,2-3,41,41.5,,,8.207e-09,sig,1
Max,cadence,active_days_14d,4-7,90,55.6,,,8.207e-09,sig,0
Max,cadence,active_days_14d,8+,140,78.6,,,8.207e-09,sig,0
Max,cadence,sessions_count,1,72,56.9,,,2.445e-02,sig,0
Max,cadence,sessions_count,2-3,60,48.3,,,2.445e-02,sig,0
Max,cadence,sessions_count,4-7,60,61.7,,,2.445e-02,sig,0
Max,cadence,sessions_count,8+,111,71.2,,,2.445e-02,sig,0
CROSS-PLAN,rr_compare,pr_comment,free|trialpro|pro|max,,,,1.873|2.521|1.694|1.660,,,
CROSS-PLAN,rr_compare,deepwiki_view,free|trialpro|pro|max,,,,2.807|6.658|1.683|1.390,,,
CROSS-PLAN,rr_compare,check_run_created,free|trialpro|pro|max,,,,1.637|0.739|1.631|1.428,,,
CROSS-PLAN,rr_compare,has_pr,free|trialpro|pro|max,,,,1.207|1.145|1.430|1.419,,,
CROSS-PLAN,rr_compare,has_merge,free|trialpro|pro|max,,,,1.398|0.894|1.429|1.616,,,
CROSS-PLAN,rr_compare,suggest_testing_setup,free|trialpro|pro|max,,,,1.185|1.093|1.330|1.623,,,
CROSS-PLAN,rr_compare,checkpoint_restored,free|trialpro|pro|max,,,,1.758|1.178|1.260|1.715,,,
CROSS-PLAN,rr_compare,mcp_tool_call,free|trialpro|pro|max,,,,3.310|1.054|1.245|1.349,,,
CROSS-PLAN,rr_compare,devin_review,free|trialpro|pro|max,,,,0.238|1.419|1.159|1.486,,,
CROSS-PLAN,rr_compare,computer_use,free|trialpro|pro|max,,,,0.565|0.957|1.061|1.495,,,
CROSS-PLAN,rr_compare,web_search,free|trialpro|pro|max,,,,0.852|0.918|0.968|1.258,,,
CROSS-PLAN,rr_compare,test_recording,free|trialpro|pro|max,,,,0.935|1.218|1.070|1.157,,,
